
> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


> bsc-backend@1.0.0 build
> tsc


> bsc-backend@1.0.0 start
> node .


> bsc-backend@1.0.0 prestart
> npm run build


> bsc-backend@1.0.0 prebuild
> tslint -c tslint.json -p tsconfig.json --fix


POST /measurement/schuepbach 201 - - 15.530 ms
POST /measurement/schuepbach 201 - - 14.805 ms
POST /measurement/schuepbach 201 - - 16.975 ms
POST /measurement/schuepbach 201 - - 15.763 ms
POST /measurement/schuepbach 201 - - 15.605 ms
POST /measurement/schuepbach 201 - - 15.120 ms
POST /measurement/schuepbach 201 - - 15.602 ms
POST /measurement/schuepbach 201 - - 16.397 ms
POST /measurement/schuepbach 201 - - 15.907 ms
POST /measurement/schuepbach 201 - - 17.650 ms
POST /measurement/schuepbach 201 - - 15.087 ms
POST /measurement/schuepbach 201 - - 25.843 ms
POST /measurement/schuepbach 201 - - 16.287 ms
POST /measurement/schuepbach 201 - - 22.646 ms
POST /measurement/schuepbach 201 - - 15.052 ms
POST /measurement/schuepbach 201 - - 14.567 ms
POST /measurement/schuepbach 201 - - 15.096 ms
POST /measurement/schuepbach 201 - - 15.744 ms
POST /measurement/schuepbach 201 - - 15.253 ms
POST /measurement/schuepbach 201 - - 15.488 ms
POST /measurement/schuepbach 201 - - 14.863 ms
POST /measurement/schuepbach 201 - - 15.453 ms
POST /measurement/schuepbach 201 - - 14.605 ms
POST /measurement/schuepbach 201 - - 14.634 ms
POST /measurement/schuepbach 201 - - 15.676 ms
POST /measurement/schuepbach 201 - - 14.932 ms
POST /measurement/schuepbach 201 - - 15.489 ms
POST /measurement/schuepbach 201 - - 17.162 ms
POST /measurement/schuepbach 201 - - 14.781 ms
POST /measurement/schuepbach 201 - - 14.630 ms
POST /measurement/schuepbach 201 - - 14.753 ms
POST /measurement/schuepbach 201 - - 18.224 ms
POST /measurement/schuepbach 201 - - 15.412 ms
POST /measurement/schuepbach 201 - - 13.915 ms
POST /measurement/schuepbach 201 - - 15.279 ms
POST /measurement/schuepbach 201 - - 15.341 ms
POST /measurement/schuepbach 201 - - 16.304 ms
POST /measurement/schuepbach 201 - - 17.154 ms
POST /measurement/schuepbach 201 - - 14.507 ms
POST /measurement/schuepbach 201 - - 14.127 ms
POST /measurement/schuepbach 201 - - 15.936 ms
POST /measurement/schuepbach 201 - - 15.260 ms
POST /measurement/schuepbach 201 - - 14.855 ms
POST /measurement/schuepbach 201 - - 14.187 ms
POST /measurement/schuepbach 201 - - 16.411 ms
POST /measurement/schuepbach 201 - - 15.563 ms
POST /measurement/schuepbach 201 - - 14.526 ms
POST /measurement/schuepbach 201 - - 16.026 ms
POST /measurement/schuepbach 201 - - 14.697 ms
POST /measurement/schuepbach 201 - - 18.079 ms
